DateTime,High,Low,Close
09/18/2013 13:12:37.689,0.0,-0.5,0.25
09/18/2013 13:12:42.099,0.5,-0.75,0.5
09/18/2013 13:12:45.980,0.5,-0.5,0.5
09/18/2013 13:12:49.264,0.25,-1.0,0.25
09/18/2013 13:12:55.805,0.25,-0.5,0.25
09/18/2013 13:13:01.771,0.25,-0.5,0.25
09/18/2013 13:13:06.654,0.0,-0.5,0.25
09/18/2013 13:13:10.497,0.0,-0.5,0.5
09/18/2013 13:13:15.224,0.0,-0.5,0.25
09/18/2013 13:13:20.134,0.25,-0.5,0.25
09/18/2013 13:13:25.058,0.0,-0.5,0.25
09/18/2013 13:13:34.690,0.25,-0.5,0.25
09/18/2013 13:13:40.512,0.5,-0.5,0.5
09/18/2013 13:13:46.762,0.25,-0.25,0.0
09/18/2013 13:13:52.721,0.75,-0.75,0.0
09/18/2013 13:13:58.442,0.25,-0.5,0.5
09/18/2013 13:14:05.894,0.5,-0.75,0.25
09/18/2013 13:14:13.857,0.25,-0.5,0.25
09/18/2013 13:14:22.648,0.0,-0.5,0.0
09/18/2013 13:14:29.194,0.25,-0.5,0.25
09/18/2013 13:14:33.480,0.25,-0.75,0.75
09/18/2013 13:14:38.778,0.25,-0.75,0.25
09/18/2013 13:14:44.746,0.25,-1.0,0.25
09/18/2013 13:14:47.308,0.25,-0.75,0.0
09/18/2013 13:14:49.009,0.5,-0.75,0.75
09/18/2013 13:14:55.631,0.0,-0.5,0.25
09/18/2013 13:15:02.170,0.25,-0.5,0.25
09/18/2013 13:15:08.150,0.5,-0.75,0.75
09/18/2013 13:15:19.367,0.25,-0.5,0.25
09/18/2013 13:15:28.266,0.5,-0.75,0.75
09/18/2013 13:15:35.465,0.25,-1.0,0.25
09/18/2013 13:15:41.650,0.5,-0.5,0.25
09/18/2013 13:15:48.581,0.25,-0.75,0.5
09/18/2013 13:15:55.444,1.0,-1.0,0.75
09/18/2013 13:15:59.444,0.25,-0.5,0.25
09/18/2013 13:16:02.558,0.5,-0.5,0.25
09/18/2013 13:16:12.768,0.25,-0.75,0.0
09/18/2013 13:16:23.743,0.25,-0.5,0.0
09/18/2013 13:16:35.787,0.25,-0.75,0.25
09/18/2013 13:16:46.295,0.25,-0.5,0.0
09/18/2013 13:16:54.620,0.0,-0.75,0.25
09/18/2013 13:17:01.000,0.25,-0.5,0.5
09/18/2013 13:17:12.362,0.25,-0.5,0.5
09/18/2013 13:17:23.426,0.25,-0.75,0.0
09/18/2013 13:17:32.336,0.0,-0.5,0.25
09/18/2013 13:17:41.571,0.75,-0.75,0.25
09/18/2013 13:17:57.674,0.0,-0.25,0.0
09/18/2013 13:18:04.310,1.0,-1.0,0.5
